,tucaseid,erbmi,erincome,ertpreat,ertseat,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eusnap,eugenhth,eugroshp,euhgt,euinclvl,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm,euwgt,bmi_class
19787,20151009151791,28.0,1.0,,5.0,,1.0,1.0,2.0,,1.0,10.0,2.0,1.0,2.0,4.0,1.0,70,6,1.0,2.0,3.0,2.0,1.0,1.0,2.0,195,1
19788,20151009151793,24.8,3.0,226.0,15.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,72,6,2.0,2.0,1.0,1.0,1.0,1.0,,183,1
19789,20151009151801,21.3,,30.0,,,2.0,2.0,1.0,3.0,2.0,,,1.0,2.0,2.0,1.0,63,6,1.0,2.0,1.0,,2.0,4.0,2.0,120,1
19790,20151009151805,38.3,5.0,10.0,,,2.0,2.0,1.0,2.0,2.0,,,2.0,2.0,5.0,2.0,64,6,,,2.0,,,,,223,2
19791,20151009151815,30.7,1.0,60.0,25.0,,2.0,1.0,1.0,4.0,2.0,,,1.0,2.0,2.0,2.0,68,7,,,2.0,,,,,202,2
19792,20151009151816,27.5,5.0,15.0,5.0,,1.0,1.0,2.0,,1.0,4.0,2.0,1.0,2.0,3.0,1.0,63,7,1.0,2.0,1.0,2.0,1.0,2.0,2.0,155,1
19793,20151009151820,27.4,1.0,180.0,,,2.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,67,6,,,2.0,,,,,175,1
19794,20151009151821,32.9,5.0,,5.0,,2.0,1.0,2.0,,2.0,,,3.0,1.0,5.0,1.0,62,6,1.0,2.0,1.0,,1.0,3.0,2.0,180,2
19795,20151009151823,34.0,5.0,50.0,,,2.0,2.0,2.0,,2.0,,,1.0,2.0,3.0,1.0,67,6,2.0,2.0,1.0,,2.0,3.0,,217,2
19796,20151009151824,23.2,5.0,15.0,,,2.0,2.0,1.0,1.0,2.0,,,1.0,2.0,4.0,3.0,73,6,1.0,2.0,1.0,,1.0,5.0,2.0,176,1
19797,20151009151825,27.3,1.0,114.0,,,1.0,2.0,1.0,4.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,69,6,1.0,2.0,1.0,2.0,3.0,1.0,1.0,185,1
19798,20151009151828,40.8,5.0,90.0,,,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,5.0,1.0,65,7,1.0,2.0,1.0,2.0,1.0,2.0,2.0,245,2
19799,20151009151832,40.7,1.0,130.0,25.0,,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,63,6,1.0,2.0,1.0,2.0,2.0,1.0,2.0,230,2
19800,20151009151843,22.7,1.0,95.0,30.0,,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,63,6,1.0,2.0,1.0,2.0,1.0,1.0,2.0,128,1
19801,20151009151849,28.3,1.0,60.0,50.0,,2.0,1.0,1.0,4.0,2.0,,,1.0,2.0,2.0,1.0,65,6,1.0,2.0,1.0,,1.0,2.0,2.0,170,1
19802,20151009151867,26.6,3.0,120.0,,,2.0,2.0,2.0,,2.0,,,1.0,2.0,,1.0,65,6,,2.0,1.0,,1.0,2.0,,160,1
